query_id,n_docs,missing,shallow
Q1_001,201,False,False
Q1_002,201,False,False
Q1_003,201,False,False
Q1_004,201,False,False
Q1_005,201,False,False
Q1_006,201,False,False
Q1_007,201,False,False
Q1_008,822,False,False
Q1_009,201,False,False
Q1_010,240,False,False
Q1_011,201,False,False
Q1_012,201,False,False
Q1_013,240,False,False
Q1_014,201,False,False
Q1_015,201,False,False
Q1_016,201,False,False
Q1_017,201,False,False
Q1_018,201,False,False
Q1_019,367,False,False
Q1_020,242,False,False
Q1_021,201,False,False
Q1_022,201,False,False
Q1_023,201,False,False
Q1_024,201,False,False
Q1_025,201,False,False
Q1_026,201,False,False
Q1_027,227,False,False
Q1_028,201,False,False
Q1_029,201,False,False
Q1_030,201,False,False
Q1_031,201,False,False
Q1_032,201,False,False
Q1_033,202,False,False
Q1_034,201,False,False
Q1_035,201,False,False
Q1_036,201,False,False
Q1_037,201,False,False
Q1_038,704,False,False
Q1_039,201,False,False
Q1_040,199,False,False
Q1_041,210,False,False
Q1_042,201,False,False
Q1_043,201,False,False
Q1_044,201,False,False
Q1_045,201,False,False
Q1_046,661,False,False
Q1_047,201,False,False
Q1_048,200,False,False
Q1_049,202,False,False
Q1_050,150,False,False
Q2_001,354,False,False
Q2_002,373,False,False
Q2_003,326,False,False
Q2_004,322,False,False
Q2_005,337,False,False
Q2_006,278,False,False
Q2_007,366,False,False
Q2_008,322,False,False
Q2_009,225,False,False
Q2_010,221,False,False
Q2_011,329,False,False
Q2_012,325,False,False
Q2_013,377,False,False
Q2_014,296,False,False
Q2_015,341,False,False
Q2_016,366,False,False
Q2_017,322,False,False
Q2_018,201,False,False
Q2_019,373,False,False
Q2_020,381,False,False
Q2_021,322,False,False
Q2_022,321,False,False
Q2_023,201,False,False
Q2_024,316,False,False
Q2_025,365,False,False
Q2_026,318,False,False
Q2_027,295,False,False
Q2_028,315,False,False
Q2_029,201,False,False
Q2_030,218,False,False
Q2_031,232,False,False
Q2_032,364,False,False
Q2_033,268,False,False
Q2_034,203,False,False
Q2_035,327,False,False
Q2_036,287,False,False
Q2_037,336,False,False
Q2_038,335,False,False
Q2_039,376,False,False
Q2_040,205,False,False
Q2_041,271,False,False
Q2_042,323,False,False
Q2_043,371,False,False
Q2_044,303,False,False
Q2_045,335,False,False
Q2_046,364,False,False
Q2_047,332,False,False
Q2_048,335,False,False
Q2_049,355,False,False
Q2_050,202,False,False
Q3_001,268,False,False
Q3_002,338,False,False
Q3_003,336,False,False
Q3_004,325,False,False
Q3_005,333,False,False
Q3_006,329,False,False
Q3_007,328,False,False
Q3_008,393,False,False
Q3_009,367,False,False
Q3_010,347,False,False
Q3_011,303,False,False
Q3_012,343,False,False
Q3_013,319,False,False
Q3_014,355,False,False
Q3_015,322,False,False
Q3_016,325,False,False
Q3_017,319,False,False
Q3_018,328,False,False
Q4_001,345,False,False
Q4_002,333,False,False
Q4_003,353,False,False
Q4_004,328,False,False
Q4_005,343,False,False
Q4_006,370,False,False
Q4_007,370,False,False
Q4_008,326,False,False
Q4_009,343,False,False
Q4_010,344,False,False
Q4_011,365,False,False
Q4_012,327,False,False
Q4_013,333,False,False
Q4_014,310,False,False
Q5_001,202,False,False
Q5_002,237,False,False
Q5_003,293,False,False
Q5_004,164,False,False
Q5_005,242,False,False
Q5_006,245,False,False
Q5_007,204,False,False
Q5_008,246,False,False
Q5_009,302,False,False
Q5_010,312,False,False
Q5_011,311,False,False
Q5_012,202,False,False
Q5_013,309,False,False
Q5_014,266,False,False
Q5_015,340,False,False
Q5_016,235,False,False
Q5_017,322,False,False
Q5_018,277,False,False
Q5_019,242,False,False
Q5_020,305,False,False
Q5_021,302,False,False
Q5_022,171,False,False
Q5_023,281,False,False
Q5_024,255,False,False
Q5_025,262,False,False
Q5_026,214,False,False
Q5_027,228,False,False
Q5_028,269,False,False
Q5_029,227,False,False
Q5_030,281,False,False
Q5_031,332,False,False
Q5_032,299,False,False
Q5_033,267,False,False
Q5_034,330,False,False
Q5_035,280,False,False
Q5_036,170,False,False
Q5_037,181,False,False
Q5_038,181,False,False
Q5_039,291,False,False
Q5_040,248,False,False
Q5_041,292,False,False
Q5_042,330,False,False
Q5_043,242,False,False
Q5_044,224,False,False
Q5_045,211,False,False
Q5_046,280,False,False
Q5_047,264,False,False
Q5_048,277,False,False
Q5_049,302,False,False
Q5_050,217,False,False
Q6_001,311,False,False
Q6_002,376,False,False
Q6_003,362,False,False
Q6_004,395,False,False
Q6_005,321,False,False
Q6_006,302,False,False
Q6_007,313,False,False
Q6_008,377,False,False
Q6_009,371,False,False
Q6_010,360,False,False
Q6_011,278,False,False
Q6_012,360,False,False
Q6_013,338,False,False
Q6_014,315,False,False
Q6_015,391,False,False
Q6_016,339,False,False
Q6_017,299,False,False
Q6_018,314,False,False
Q6_019,344,False,False
Q6_020,361,False,False
Q6_021,282,False,False
Q6_022,362,False,False
Q6_023,388,False,False
Q6_024,353,False,False
Q6_025,344,False,False
Q6_026,342,False,False
Q6_027,364,False,False
Q6_028,367,False,False
Q6_029,332,False,False
Q6_030,396,False,False
Q6_031,353,False,False
Q6_032,317,False,False
Q6_033,314,False,False
Q6_034,312,False,False
Q6_035,308,False,False
Q6_036,364,False,False
Q6_037,362,False,False
Q6_038,372,False,False
Q6_039,272,False,False
Q6_040,350,False,False
Q6_041,388,False,False
Q6_042,313,False,False
Q6_043,341,False,False
Q6_044,310,False,False
Q6_045,299,False,False
Q6_046,370,False,False
Q6_047,339,False,False
Q6_048,316,False,False
Q6_049,309,False,False
Q6_050,378,False,False
