query_id,n_docs,missing,shallow
Q1_001,0,True,False
Q1_002,0,True,False
Q1_003,0,True,False
Q1_004,0,True,False
Q1_005,0,True,False
Q1_006,0,True,False
Q1_007,0,True,False
Q1_008,0,True,False
Q1_009,0,True,False
Q1_010,0,True,False
Q1_011,0,True,False
Q1_012,0,True,False
Q1_013,0,True,False
Q1_014,0,True,False
Q1_015,0,True,False
Q1_016,0,True,False
Q1_017,0,True,False
Q1_018,0,True,False
Q1_019,0,True,False
Q1_020,0,True,False
Q1_021,0,True,False
Q1_022,0,True,False
Q1_023,0,True,False
Q1_024,0,True,False
Q1_025,0,True,False
Q1_026,0,True,False
Q1_027,0,True,False
Q1_028,0,True,False
Q1_029,0,True,False
Q1_030,0,True,False
Q1_031,0,True,False
Q1_032,0,True,False
Q1_033,0,True,False
Q1_034,0,True,False
Q1_035,0,True,False
Q1_036,0,True,False
Q1_037,0,True,False
Q1_038,0,True,False
Q1_039,0,True,False
Q1_040,0,True,False
Q1_041,0,True,False
Q1_042,0,True,False
Q1_043,0,True,False
Q1_044,0,True,False
Q1_045,0,True,False
Q1_046,0,True,False
Q1_047,0,True,False
Q1_048,0,True,False
Q1_049,0,True,False
Q1_050,0,True,False
Q2_001,100,False,False
Q2_002,100,False,False
Q2_003,100,False,False
Q2_004,100,False,False
Q2_005,100,False,False
Q2_006,79,False,False
Q2_007,100,False,False
Q2_008,100,False,False
Q2_009,100,False,False
Q2_010,100,False,False
Q2_011,100,False,False
Q2_012,100,False,False
Q2_013,100,False,False
Q2_014,100,False,False
Q2_015,100,False,False
Q2_016,100,False,False
Q2_017,100,False,False
Q2_018,0,True,False
Q2_019,100,False,False
Q2_020,100,False,False
Q2_021,100,False,False
Q2_022,100,False,False
Q2_023,0,True,False
Q2_024,100,False,False
Q2_025,100,False,False
Q2_026,100,False,False
Q2_027,100,False,False
Q2_028,100,False,False
Q2_029,0,True,False
Q2_030,45,False,False
Q2_031,63,False,False
Q2_032,100,False,False
Q2_033,100,False,False
Q2_034,3,False,True
Q2_035,100,False,False
Q2_036,100,False,False
Q2_037,100,False,False
Q2_038,100,False,False
Q2_039,100,False,False
Q2_040,12,False,False
Q2_041,100,False,False
Q2_042,100,False,False
Q2_043,100,False,False
Q2_044,100,False,False
Q2_045,100,False,False
Q2_046,100,False,False
Q2_047,100,False,False
Q2_048,100,False,False
Q2_049,100,False,False
Q2_050,2,False,True
Q3_001,100,False,False
Q3_002,100,False,False
Q3_003,100,False,False
Q3_004,100,False,False
Q3_005,100,False,False
Q3_006,100,False,False
Q3_007,100,False,False
Q3_008,100,False,False
Q3_009,100,False,False
Q3_010,100,False,False
Q3_011,100,False,False
Q3_012,100,False,False
Q3_013,100,False,False
Q3_014,100,False,False
Q3_015,100,False,False
Q3_016,100,False,False
Q3_017,100,False,False
Q3_018,100,False,False
Q4_001,100,False,False
Q4_002,100,False,False
Q4_003,100,False,False
Q4_004,100,False,False
Q4_005,100,False,False
Q4_006,100,False,False
Q4_007,100,False,False
Q4_008,100,False,False
Q4_009,100,False,False
Q4_010,100,False,False
Q4_011,100,False,False
Q4_012,100,False,False
Q4_013,100,False,False
Q4_014,100,False,False
Q5_001,100,False,False
Q5_002,100,False,False
Q5_003,93,False,False
Q5_004,100,False,False
Q5_005,100,False,False
Q5_006,45,False,False
Q5_007,100,False,False
Q5_008,100,False,False
Q5_009,100,False,False
Q5_010,100,False,False
Q5_011,100,False,False
Q5_012,100,False,False
Q5_013,100,False,False
Q5_014,100,False,False
Q5_015,100,False,False
Q5_016,100,False,False
Q5_017,100,False,False
Q5_018,100,False,False
Q5_019,100,False,False
Q5_020,100,False,False
Q5_021,100,False,False
Q5_022,100,False,False
Q5_023,100,False,False
Q5_024,100,False,False
Q5_025,100,False,False
Q5_026,100,False,False
Q5_027,28,False,False
Q5_028,100,False,False
Q5_029,100,False,False
Q5_030,100,False,False
Q5_031,100,False,False
Q5_032,100,False,False
Q5_033,100,False,False
Q5_034,100,False,False
Q5_035,100,False,False
Q5_036,100,False,False
Q5_037,100,False,False
Q5_038,100,False,False
Q5_039,100,False,False
Q5_040,100,False,False
Q5_041,100,False,False
Q5_042,100,False,False
Q5_043,42,False,False
Q5_044,25,False,False
Q5_045,100,False,False
Q5_046,100,False,False
Q5_047,100,False,False
Q5_048,100,False,False
Q5_049,100,False,False
Q5_050,17,False,False
Q6_001,100,False,False
Q6_002,100,False,False
Q6_003,100,False,False
Q6_004,100,False,False
Q6_005,100,False,False
Q6_006,100,False,False
Q6_007,100,False,False
Q6_008,100,False,False
Q6_009,100,False,False
Q6_010,100,False,False
Q6_011,100,False,False
Q6_012,100,False,False
Q6_013,100,False,False
Q6_014,100,False,False
Q6_015,100,False,False
Q6_016,100,False,False
Q6_017,100,False,False
Q6_018,100,False,False
Q6_019,100,False,False
Q6_020,100,False,False
Q6_021,100,False,False
Q6_022,100,False,False
Q6_023,100,False,False
Q6_024,100,False,False
Q6_025,100,False,False
Q6_026,100,False,False
Q6_027,100,False,False
Q6_028,100,False,False
Q6_029,100,False,False
Q6_030,100,False,False
Q6_031,100,False,False
Q6_032,100,False,False
Q6_033,100,False,False
Q6_034,100,False,False
Q6_035,100,False,False
Q6_036,100,False,False
Q6_037,100,False,False
Q6_038,100,False,False
Q6_039,100,False,False
Q6_040,100,False,False
Q6_041,100,False,False
Q6_042,100,False,False
Q6_043,100,False,False
Q6_044,100,False,False
Q6_045,100,False,False
Q6_046,100,False,False
Q6_047,100,False,False
Q6_048,100,False,False
Q6_049,100,False,False
Q6_050,100,False,False
