query_id,n_docs,missing,shallow
Q1_001,1,False,True
Q1_002,1,False,True
Q1_003,1,False,True
Q1_004,1,False,True
Q1_005,1,False,True
Q1_006,1,False,True
Q1_007,1,False,True
Q1_008,622,False,False
Q1_009,1,False,True
Q1_010,40,False,False
Q1_011,1,False,True
Q1_012,1,False,True
Q1_013,40,False,False
Q1_014,1,False,True
Q1_015,1,False,True
Q1_016,1,False,True
Q1_017,1,False,True
Q1_018,1,False,True
Q1_019,167,False,False
Q1_020,42,False,False
Q1_021,1,False,True
Q1_022,1,False,True
Q1_023,1,False,True
Q1_024,1,False,True
Q1_025,1,False,True
Q1_026,1,False,True
Q1_027,27,False,False
Q1_028,1,False,True
Q1_029,1,False,True
Q1_030,1,False,True
Q1_031,1,False,True
Q1_032,1,False,True
Q1_033,2,False,True
Q1_034,1,False,True
Q1_035,1,False,True
Q1_036,1,False,True
Q1_037,1,False,True
Q1_038,504,False,False
Q1_039,1,False,True
Q1_040,1,False,True
Q1_041,10,False,False
Q1_042,1,False,True
Q1_043,1,False,True
Q1_044,1,False,True
Q1_045,1,False,True
Q1_046,461,False,False
Q1_047,1,False,True
Q1_048,1,False,True
Q1_049,2,False,True
Q1_050,2,False,True
Q2_001,0,True,False
Q2_002,0,True,False
Q2_003,0,True,False
Q2_004,0,True,False
Q2_005,0,True,False
Q2_006,0,True,False
Q2_007,0,True,False
Q2_008,0,True,False
Q2_009,0,True,False
Q2_010,0,True,False
Q2_011,0,True,False
Q2_012,0,True,False
Q2_013,0,True,False
Q2_014,0,True,False
Q2_015,0,True,False
Q2_016,0,True,False
Q2_017,0,True,False
Q2_018,0,True,False
Q2_019,0,True,False
Q2_020,0,True,False
Q2_021,0,True,False
Q2_022,0,True,False
Q2_023,0,True,False
Q2_024,0,True,False
Q2_025,0,True,False
Q2_026,0,True,False
Q2_027,0,True,False
Q2_028,0,True,False
Q2_029,0,True,False
Q2_030,0,True,False
Q2_031,0,True,False
Q2_032,0,True,False
Q2_033,0,True,False
Q2_034,0,True,False
Q2_035,0,True,False
Q2_036,0,True,False
Q2_037,0,True,False
Q2_038,0,True,False
Q2_039,0,True,False
Q2_040,0,True,False
Q2_041,0,True,False
Q2_042,0,True,False
Q2_043,0,True,False
Q2_044,0,True,False
Q2_045,0,True,False
Q2_046,0,True,False
Q2_047,0,True,False
Q2_048,0,True,False
Q2_049,0,True,False
Q2_050,0,True,False
Q3_001,0,True,False
Q3_002,0,True,False
Q3_003,0,True,False
Q3_004,0,True,False
Q3_005,0,True,False
Q3_006,0,True,False
Q3_007,0,True,False
Q3_008,0,True,False
Q3_009,0,True,False
Q3_010,0,True,False
Q3_011,0,True,False
Q3_012,0,True,False
Q3_013,0,True,False
Q3_014,0,True,False
Q3_015,0,True,False
Q3_016,0,True,False
Q3_017,0,True,False
Q3_018,0,True,False
Q4_001,0,True,False
Q4_002,0,True,False
Q4_003,0,True,False
Q4_004,0,True,False
Q4_005,0,True,False
Q4_006,0,True,False
Q4_007,0,True,False
Q4_008,0,True,False
Q4_009,0,True,False
Q4_010,0,True,False
Q4_011,0,True,False
Q4_012,0,True,False
Q4_013,0,True,False
Q4_014,0,True,False
Q5_001,0,True,False
Q5_002,0,True,False
Q5_003,0,True,False
Q5_004,0,True,False
Q5_005,0,True,False
Q5_006,0,True,False
Q5_007,0,True,False
Q5_008,0,True,False
Q5_009,0,True,False
Q5_010,0,True,False
Q5_011,0,True,False
Q5_012,0,True,False
Q5_013,0,True,False
Q5_014,0,True,False
Q5_015,0,True,False
Q5_016,0,True,False
Q5_017,0,True,False
Q5_018,0,True,False
Q5_019,0,True,False
Q5_020,0,True,False
Q5_021,0,True,False
Q5_022,0,True,False
Q5_023,0,True,False
Q5_024,0,True,False
Q5_025,0,True,False
Q5_026,0,True,False
Q5_027,0,True,False
Q5_028,0,True,False
Q5_029,0,True,False
Q5_030,0,True,False
Q5_031,0,True,False
Q5_032,0,True,False
Q5_033,0,True,False
Q5_034,0,True,False
Q5_035,0,True,False
Q5_036,0,True,False
Q5_037,0,True,False
Q5_038,0,True,False
Q5_039,0,True,False
Q5_040,0,True,False
Q5_041,0,True,False
Q5_042,0,True,False
Q5_043,0,True,False
Q5_044,0,True,False
Q5_045,0,True,False
Q5_046,0,True,False
Q5_047,0,True,False
Q5_048,0,True,False
Q5_049,0,True,False
Q5_050,0,True,False
Q6_001,0,True,False
Q6_002,0,True,False
Q6_003,0,True,False
Q6_004,0,True,False
Q6_005,0,True,False
Q6_006,0,True,False
Q6_007,0,True,False
Q6_008,0,True,False
Q6_009,0,True,False
Q6_010,0,True,False
Q6_011,0,True,False
Q6_012,0,True,False
Q6_013,0,True,False
Q6_014,0,True,False
Q6_015,0,True,False
Q6_016,0,True,False
Q6_017,0,True,False
Q6_018,0,True,False
Q6_019,0,True,False
Q6_020,0,True,False
Q6_021,0,True,False
Q6_022,0,True,False
Q6_023,0,True,False
Q6_024,0,True,False
Q6_025,0,True,False
Q6_026,0,True,False
Q6_027,0,True,False
Q6_028,0,True,False
Q6_029,0,True,False
Q6_030,0,True,False
Q6_031,0,True,False
Q6_032,0,True,False
Q6_033,0,True,False
Q6_034,0,True,False
Q6_035,0,True,False
Q6_036,0,True,False
Q6_037,0,True,False
Q6_038,0,True,False
Q6_039,0,True,False
Q6_040,0,True,False
Q6_041,0,True,False
Q6_042,0,True,False
Q6_043,0,True,False
Q6_044,0,True,False
Q6_045,0,True,False
Q6_046,0,True,False
Q6_047,0,True,False
Q6_048,0,True,False
Q6_049,0,True,False
Q6_050,0,True,False
